id,名前(仮),ティア,ティア名,レイヤー,レアリティ,モチーフ,メインカラー,生成プロンプト(英語)
mon_01,（仮）カズカメ,1,弱・可愛い,1,common,カメ＋数字1〜5,ミントグリーン,"chibi baby turtle with rounded shell engraved with glowing numbers 1 through 5, big sparkling round eyes, soft mint green and cream colors, tiny cute proportions, friendly expression, Japanese mobile game mascot illustration style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_02,（仮）ロッポリス,1,弱・可愛い,1,common,ウサギ＋6本耳,ラベンダー,"adorable chibi rabbit creature with 6 fluffy ears each a different pastel color, chubby round body, oversized sparkly eyes, bouncing pose, soft lavender and white palette, Japanese chibi game character style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_03,（仮）バンバンゲロ,1,弱・可愛い,1,common,カエル＋1番旗,黄緑,"tiny chibi frog proudly holding a small first place flag, puffed up chest, determined cheerful expression, yellow-green and cream colors, round bouncy proportions, Japanese mobile game illustration style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_04,（仮）タスプタ,1,弱・可愛い,1,common,翼竜＋プラス羽,オレンジピンク,"cute baby pterodactyl with wings shaped like plus signs (+), tiny rounded body, playful open-wing pose, warm orange-pink and coral colors, chibi proportions, Japanese game mascot style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_05,（仮）ヒクリス,1,弱・可愛い,1,common,リス竜＋マイナス,茶クリーム,"chibi squirrel-like small creature with a minus symbol (−) on its fluffy tail, light and floaty feeling as if weight is being subtracted, soft brown and cream colors, gentle expression, Japanese mobile game chibi style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_06,（仮）ヒクヒキ,1,弱・可愛い,1,common,ハリネズミ＋マイナス針,青灰,"small chibi hedgehog with spines that have minus signs (−) etched on them, slightly mischievous smirk, cool blue-gray and white palette, compact round shape, slightly more attitude than mon_05, Japanese game chibi illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_07,（仮）ジュッポン,1,弱・可愛い,1,common,バッタ竜＋10本足,グリーンライム,"cheerful chibi grasshopper creature with 10 cute articulated legs, rhythmically bouncing pose, bright lime green and yellow-green palette, big round compound eyes, energetic expression, Japanese chibi game style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_08,（仮）ジュッポン,1,弱・可愛い,1,common,バッタ＋10本足,グリーンライム,"cheerful chibi grasshopper creature with 10 cute articulated legs, rhythmically bouncing pose, bright lime green and yellow-green palette, big round compound eyes, energetic expression, Japanese chibi game style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_09,（仮）ハタザウル,1,弱・可愛い,1,common,草食恐竜＋20歩,草原グリーン,"baby sauropod dinosaur (brachiosaurus-type) walking with glowing footprint marks numbered 1 through 20 behind it, innocent wide eyes, soft grass-green and cream colors, small and round body, Japanese game chibi dinosaur style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_10,（仮）チクタン,1,弱・可愛い,1,uncommon,ネコ竜＋時計,クリームゴールド,"chibi cat-dragon hybrid with clock hands as whiskers, one eye open one eye closed (winking), tiny wings, warm cream and gold colors, a small clock face on its tummy, slightly sleepy expression, Japanese game cute character style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_11,（仮）ハンコロ,2,中・個性的,2,uncommon,タコ妖怪＋半透明,薄紫,"semi-transparent purple octopus yokai spirit with half its body fading into mist, six visible tentacles, mysterious glowing eyes, ghostly wisps of light, medium-detail illustration, slightly eerie but charming personality, Japanese yokai game art style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_12,（仮）ゴフンカニ,2,中・個性的,2,uncommon,カニ竜＋時計ハサミ,青ゴールド,"fantasy crab creature with oversized pincers shaped like clock hands that snap like scissors, compact armored body, precise and stern expression, steel blue and gold color palette, gears visible on shell, medium-detail game illustration style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_13,（仮）サクランボン,2,中・個性的,2,uncommon,花の精＋分解,桜ピンク,"cherry blossom nature spirit splitting gracefully into two mirror halves, floral and magical aesthetic, cherry pink and white palette, petals floating around it, gentle but slightly mysterious expression, medium-detail Japanese game illustration style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
